DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
WED,CSE-28,---,DSD,---,DSD(L),DSD(L),---,PS,---,AFL,STW,---,X,---,X,X
WED,CSE-30,---,DS,---,STW,DSD,---,AFL,---,PS,X,---,X,---,X,X
WED,CSE-32,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-34,---,PS,---,IND4,STW,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
WED,CSE-36,---,X,---,DS,PS,---,AFL,---,STW,X,---,X,---,X,X
WED,CSE-38,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-40,---,AFL,---,STW,IND4,---,DS,---,PS,X,---,X,---,X,X
WED,CSE-42,---,X,---,X,PS,---,IND4,---,AFL,DS,---,X,---,X,X
WED,CSE-44,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-46,---,X,---,AFL,DS,---,DSD,---,IND4,PS,---,X,---,X,X
WED,CSE-47,---,X,---,X,X,---,DS,---,AFL,STW,---,X,---,X,X
WED,CSE-48,---,DSD,---,DSD(L),DSD(L),---,AFL,---,DS,PS,---,X,---,X,X
WED,CSE-50,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-52,---,X,---,STW,IND4,---,DS,---,AFL,PS,---,X,---,X,X
WED,CSE-54,---,X,---,DSD,DS,---,PS,---,STW,AFL,---,X,---,X,X
THU,CSE-2,---,DS,---,STW,PS,---,DSD,---,AFL,X,---,X,---,X,X
THU,CSE-3,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-6,---,X,---,PS,DS,---,IND4,---,AFL,STW,---,X,---,X,X
THU,CSE-8,---,AFL,---,DS(L),DS(L),---,PS,---,DS,DSD,---,X,---,X,X
THU,CSE-9,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-12,---,X,---,AFL,IND4,---,STW,---,DS,PS,---,X,---,X,X
THU,CSE-14,---,AFL,---,DS(L),DS(L),---,DS,---,PS,X,---,X,---,X,X
THU,CSE-15,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-18,---,AFL,---,STW,DSD,---,PS,---,DS,X,---,X,---,X,X
THU,CSE-20,---,AFL,---,DS,PS,---,DSD,---,IND4,STW,---,X,---,X,X
THU,CSE-21,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-24,---,X,---,AFL,IND4,---,DS,---,STW,PS,---,X,---,X,X
THU,CSE-26,---,AFL,---,STW,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
THU,CSE-27,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-30,---,DSD,---,DSD(L),DSD(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-32,---,AFL,---,DS(L),DS(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-33,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-36,---,DSD,---,DSD(L),DSD(L),---,PS,---,DS,X,---,X,---,X,X
THU,CSE-38,---,DSD,---,DSD(L),DSD(L),---,AFL,---,PS,STW,---,X,---,X,X
THU,CSE-39,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-42,---,DSD,---,DS,IND4,---,PS,---,STW,AFL,---,X,---,X,X
THU,CSE-44,---,DSD,---,AFL,PS,---,DS,---,IND4,X,---,X,---,X,X
THU,CSE-45,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-48,---,X,---,DSD,DS,---,PS,---,AFL,X,---,X,---,X,X
THU,CSE-50,---,X,---,X,DS,---,PS,---,X,X,---,X,---,X,X
THU,CSE-51,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-54,---,X,---,STW,IND4,---,DS,---,AFL,PS,---,X,---,X,X
FRI,CSE-2,---,DSD,---,AFL,IND4,---,PS,---,DS,X,---,X,---,X,X
FRI,CSE-4,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-6,---,X,---,STW,IND4,---,DS,---,DSD,PS,---,X,---,X,X
FRI,CSE-8,---,PS,---,AFL,IND4,---,DS,---,STW,X,---,X,---,X,X
FRI,CSE-10,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-12,---,X,---,X,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
FRI,CSE-14,---,DS,---,STW,PS,---,DSD,---,AFL,X,---,X,---,X,X
FRI,CSE-16,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-18,---,X,---,PS,DS,---,IND4,---,DSD,AFL,---,X,---,X,X
FRI,CSE-20,---,DSD,---,AFL,IND4,---,DS,---,PS,X,---,X,---,X,X
FRI,CSE-22,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-24,---,X,---,DS,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
FRI,CSE-26,---,DS,---,STW,AFL,---,PS,---,DSD,X,---,X,---,X,X
FRI,CSE-28,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-30,---,PS,---,DSD,STW,---,AFL,---,IND4,DS,---,X,---,X,X
FRI,CSE-31,---,X,---,X,X,---,DSD,---,IND4,PS,---,X,---,X,X
