DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
TUE,CSE-1,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-2,---,AFL,---,DS(L),DS(L),---,X,---,X,X,---,DS,---,STW,PS
TUE,CSE-3,---,X,---,X,X,---,DS,---,AFL,PS,---,STW,---,DSD,IND4
TUE,CSE-4,---,AFL,---,DS,DSD,---,PS,---,STW,X,---,X,---,X,X
TUE,CSE-5,---,X,---,X,X,---,AFL,---,STW,PS,---,DS,---,X,X
TUE,CSE-6,---,X,---,AFL,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-7,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-8,---,STW,---,DSD,PS,---,X,---,X,X,---,IND4,---,AFL,DS
TUE,CSE-9,---,X,---,X,X,---,X,---,IND4,PS,---,DSD,---,AFL,STW
TUE,CSE-10,---,X,---,PS,DS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-11,---,X,---,X,X,---,STW,---,X,X,---,DSD,---,PS,DS
TUE,CSE-12,---,DS,---,DSD,AFL,---,IND4,---,STW,PS,---,X,---,X,X
TUE,CSE-13,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-14,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X,---,IND4,---,STW,PS
TUE,CSE-15,---,X,---,X,X,---,DS,---,AFL,PS,---,DSD,---,DSD(L),DSD(L)
TUE,CSE-16,---,DSD,---,DSD(L),DSD(L),---,PS,---,AFL,STW,---,X,---,X,X
TUE,CSE-17,---,X,---,X,X,---,IND4,---,STW,X,---,PS,---,DS,X
TUE,CSE-18,---,PS,---,DS,STW,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-19,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-20,---,X,---,DS(L),DS(L),---,X,---,X,X,---,DS,---,STW,PS
TUE,CSE-21,---,X,---,X,X,---,DS,---,PS,STW,---,DSD,---,DSD(L),DSD(L)
TUE,CSE-22,---,STW,---,PS,DS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-23,---,X,---,X,X,---,AFL,---,X,X,---,DSD,---,DSD(L),DSD(L)
TUE,CSE-24,---,X,---,DSD,PS,---,STW,---,AFL,X,---,X,---,X,X
TUE,CSE-25,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-26,---,AFL,---,DS(L),DS(L),---,X,---,X,X,---,DS,---,IND4,PS
TUE,CSE-27,---,X,---,X,X,---,AFL,---,DS,PS,---,IND4,---,STW,X
TUE,CSE-28,---,X,---,PS,DS,---,IND4,---,AFL,STW,---,X,---,X,X
TUE,CSE-29,---,X,---,X,X,---,DS,---,STW,PS,---,IND4,---,X,X
TUE,CSE-30,---,IND4,---,DS(L),DS(L),---,STW,---,AFL,PS,---,X,---,X,X
TUE,CSE-31,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-32,---,AFL,---,STW,PS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
TUE,CSE-33,---,X,---,X,X,---,DS,---,AFL,DSD,---,IND4,---,PS,X
TUE,CSE-34,---,STW,---,DSD,IND4,---,AFL,---,DS,PS,---,X,---,X,X
TUE,CSE-35,---,X,---,X,X,---,DS,---,PS,X,---,IND4,---,DSD,AFL
TUE,CSE-36,---,DSD,---,DS,PS,---,IND4,---,AFL,STW,---,X,---,X,X
TUE,CSE-37,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-38,---,PS,---,DS(L),DS(L),---,X,---,X,X,---,IND4,---,DS,AFL
TUE,CSE-39,---,X,---,X,X,---,DSD,---,PS,X,---,IND4,---,STW,DS
TUE,CSE-40,---,PS,---,STW,AFL,---,DS,---,DSD,X,---,X,---,X,X
TUE,CSE-41,---,X,---,X,X,---,X,---,X,X,---,PS,---,DS,X
TUE,CSE-42,---,DSD,---,DSD(L),DSD(L),---,PS,---,X,X,---,X,---,X,X
TUE,CSE-43,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-44,---,X,---,X,AFL,---,X,---,X,X,---,IND4,---,STW,PS
TUE,CSE-45,---,X,---,X,X,---,PS,---,DS,STW,---,DSD,---,DSD(L),DSD(L)
TUE,CSE-46,---,PS,---,STW,DS,---,IND4,---,AFL,X,---,X,---,X,X
TUE,CSE-47,---,X,---,X,X,---,IND4,---,AFL,DS,---,PS,---,DSD,X
TUE,CSE-48,---,DS,---,STW,PS,---,IND4,---,AFL,X,---,X,---,X,X
TUE,CSE-49,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-50,---,X,---,DSD,PS,---,X,---,X,X,---,IND4,---,STW,AFL
TUE,CSE-51,---,X,---,X,X,---,PS,---,STW,X,---,DSD,---,AFL,X
TUE,CSE-52,---,PS,---,DSD,DS,---,IND4,---,STW,AFL,---,X,---,X,X
TUE,CSE-53,---,X,---,X,X,---,DS,---,STW,AFL,---,PS,---,X,X
TUE,CSE-54,---,AFL,---,DSD,PS,---,IND4,---,DS,X,---,X,---,X,X
TUE,CSE-55,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,IT-1,---,DS,---,OOPJ(L),OOPJ(L),---,X,---,X,X,---,PS,---,CE,OOPJ
TUE,IT-2,---,DS,---,CE,PS,---,COA,---,DS(L),DS(L),---,X,---,X,X
TUE,IT-3,---,X,---,X,X,---,OOPJ,---,STW,COA,---,CE,---,PS,X
TUE,IT-4,---,COA,---,PS,OOPJ,---,DS,---,OOPJ(L),OOPJ(L),---,X,---,X,X
TUE,IT-5,---,X,---,X,X,---,COA,---,DS,STW,---,PS,---,OOPJ,CE
TUE,CSCE-1,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSCE-2,---,CE,---,CE(L),CE(L),---,X,---,X,X,---,IND4,---,PS,DS
TUE,CSCE-3,---,X,---,X,X,---,CE,---,CE(L),CE(L),---,IND4,---,PS,STW
TUE,CSSE-1,---,X,---,X,X,---,COA,---,PS,OOPJ,---,DS,---,OOPJ(L),OOPJ(L)
TUE,CSSE-2,---,X,---,STW,PS,---,DS,---,DSD,COA,---,X,---,X,X
,,,,,,,,,,,,,,,,
WED,CSE-1,---,X,---,X,X,---,PS,---,STW,DS,---,AFL,---,DS(L),DS(L)
WED,CSE-2,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-3,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X,---,STW,---,DS,PS
WED,CSE-4,---,DSD,---,STW,IND4,---,PS,---,AFL,X,---,X,---,X,X
WED,CSE-5,---,X,---,X,X,---,IND4,---,DS,X,---,DSD,---,AFL,PS
WED,CSE-6,---,DS,---,AFL,DSD,---,PS,---,STW,X,---,X,---,X,X
WED,CSE-7,---,X,---,X,X,---,PS,---,DS,AFL,---,DSD,---,DSD(L),DSD(L)
WED,CSE-8,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-9,---,PS,---,STW,DS,---,X,---,X,X,---,AFL,---,DS(L),DS(L)
WED,CSE-10,---,STW,---,DSD,IND4,---,AFL,---,DS,PS,---,X,---,X,X
WED,CSE-11,---,X,---,X,X,---,AFL,---,DSD,DS,---,PS,---,DS(L),DS(L)
WED,CSE-12,---,STW,---,AFL,DS,---,PS,---,DSD,X,---,X,---,X,X
WED,CSE-13,---,X,---,X,X,---,STW,---,DS(L),DS(L),---,AFL,---,PS,DS
WED,CSE-14,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-15,---,STW,---,DSD,DS,---,X,---,X,X,---,IND4,---,PS,X
WED,CSE-16,---,PS,---,DSD,IND4,---,AFL,---,DS,X,---,X,---,X,X
WED,CSE-17,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,IND4,---,AFL,X
WED,CSE-18,---,X,---,STW,IND4,---,AFL,---,PS,X,---,X,---,X,X
WED,CSE-19,---,X,---,X,X,---,STW,---,PS,X,---,AFL,---,DS(L),DS(L)
WED,CSE-20,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-21,---,AFL,---,DS(L),DS(L),---,X,---,X,X,---,DS,---,STW,PS
WED,CSE-22,---,X,---,STW,DSD,---,DS,---,AFL,PS,---,X,---,X,X
WED,CSE-23,---,X,---,X,X,---,DSD,---,STW,AFL,---,PS,---,DS,X
WED,CSE-24,---,STW,---,IND4,DS,---,PS,---,DSD,AFL,---,X,---,X,X
WED,CSE-25,---,X,---,X,X,---,PS,---,DS,X,---,AFL,---,DS(L),DS(L)
WED,CSE-26,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-27,---,X,---,PS,STW,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
WED,CSE-28,---,DSD,---,DSD(L),DSD(L),---,PS,---,AFL,STW,---,X,---,X,X
WED,CSE-29,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,DS,---,AFL,PS
WED,CSE-30,---,DS,---,STW,DSD,---,AFL,---,PS,X,---,X,---,X,X
WED,CSE-31,---,X,---,X,X,---,DS,---,PS,IND4,---,AFL,---,DSD,STW
WED,CSE-32,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-33,---,X,---,PS,STW,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
WED,CSE-34,---,PS,---,IND4,STW,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
WED,CSE-35,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,AFL,---,STW,X
WED,CSE-36,---,X,---,DS,PS,---,AFL,---,STW,X,---,X,---,X,X
WED,CSE-37,---,X,---,X,X,---,IND4,---,DS(L),DS(L),---,DS,---,AFL,PS
WED,CSE-38,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-39,---,PS,---,STW,AFL,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
WED,CSE-40,---,AFL,---,STW,IND4,---,DS,---,PS,X,---,X,---,X,X
WED,CSE-41,---,X,---,X,X,---,DS,---,STW,PS,---,DSD,---,AFL,X
WED,CSE-42,---,X,---,X,PS,---,IND4,---,AFL,DS,---,X,---,X,X
WED,CSE-43,---,X,---,X,X,---,PS,---,AFL,DSD,---,IND4,---,X,X
WED,CSE-44,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-45,---,DS,---,PS,AFL,---,X,---,X,X,---,DSD,---,IND4,X
WED,CSE-46,---,X,---,AFL,DS,---,DSD,---,IND4,PS,---,X,---,X,X
WED,CSE-47,---,X,---,X,X,---,DS,---,AFL,STW,---,X,---,X,X
WED,CSE-48,---,DSD,---,DSD(L),DSD(L),---,AFL,---,DS,PS,---,X,---,X,X
WED,CSE-49,---,X,---,X,X,---,AFL,---,STW,X,---,PS,---,DSD,X
WED,CSE-50,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSE-51,---,IND4,---,DSD,DS,---,X,---,X,X,---,PS,---,AFL,STW
WED,CSE-52,---,X,---,STW,IND4,---,DS,---,AFL,PS,---,X,---,X,X
WED,CSE-53,---,X,---,X,X,---,DSD,---,DS,PS,---,AFL,---,X,X
WED,CSE-54,---,X,---,DSD,DS,---,PS,---,STW,AFL,---,X,---,X,X
WED,CSE-55,---,X,---,X,X,---,PS,---,AFL,X,---,DSD,---,DSD(L),DSD(L)
WED,IT-1,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,IT-2,---,CE,---,CE(L),CE(L),---,X,---,X,X,---,PS,---,COA,STW
WED,IT-3,---,X,---,X,X,---,PS,---,COA,OOPJ,---,DS,---,OOPJ(L),OOPJ(L)
WED,IT-4,---,X,---,STW,DS,---,CE,---,PS,X,---,X,---,X,X
WED,IT-5,---,X,---,X,X,---,CE,---,CE(L),CE(L),---,COA,---,PS,X
WED,CSCE-1,---,X,---,X,X,---,DS,---,PS,IND4,---,CE,---,DSD,X
WED,CSCE-2,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
WED,CSCE-3,---,PS,---,CE,DSD,---,X,---,X,X,---,DS,---,DS(L),DS(L)
WED,CSSE-1,---,X,---,X,X,---,STW,---,PS,DS,---,DSD,---,DSD(L),DSD(L)
WED,CSSE-2,---,COA,---,DS(L),DS(L),---,PS,---,DS,X,---,X,---,X,X
,,,,,,,,,,,,,,,,
THU,CSE-1,---,X,---,X,X,---,IND4,---,DSD,STW,---,AFL,---,PS,X
THU,CSE-2,---,DS,---,STW,PS,---,DSD,---,AFL,X,---,X,---,X,X
THU,CSE-3,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-4,---,DS,---,DS(L),DS(L),---,X,---,X,X,---,IND4,---,STW,PS
THU,CSE-5,---,X,---,X,X,---,DS,---,AFL,IND4,---,STW,---,DSD,X
THU,CSE-6,---,X,---,PS,DS,---,IND4,---,AFL,STW,---,X,---,X,X
THU,CSE-7,---,X,---,X,X,---,DSD,---,AFL,PS,---,IND4,---,STW,X
THU,CSE-8,---,AFL,---,DS(L),DS(L),---,PS,---,DS,DSD,---,X,---,X,X
THU,CSE-9,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
THU,CSE-10,---,STW,---,AFL,PS,---,X,---,X,X,---,IND4,---,DSD,X
THU,CSE-11,---,X,---,X,X,---,IND4,---,AFL,X,---,DS,---,PS,X
THU,CSE-12,---,X,---,AFL,IND4,---,STW,---,DS,PS,---,X,---,X,X
THU,CSE-13,---,X,---,X,X,---,STW,---,DSD,PS,---,IND4,---,DS,X
THU,CSE-14,---,AFL,---,DS(L),DS(L),---,DS,---,PS,X,---,X,---,X,X
